timestamp,service,latency_ms,error_rate,cost_usd
2026-05-18T08:00:00,order-api,120,0.002,14.10
2026-05-18T08:05:00,order-api,126,0.002,14.40
2026-05-18T08:10:00,order-api,188,0.004,15.20
2026-05-18T08:15:00,order-api,264,0.007,16.10
2026-05-18T08:20:00,order-api,388,0.012,17.90
2026-05-18T08:25:00,order-api,522,0.019,19.30
2026-05-18T08:30:00,order-api,641,0.024,20.00
2026-05-18T08:35:00,order-api,578,0.018,19.10
2026-05-18T08:40:00,order-api,420,0.011,17.60
2026-05-18T08:45:00,order-api,286,0.006,16.00
